Generation,TrainReward,TestReward
50,-90,-80
100,-89,-80
150,-90,-40
200,-91,-50
250,-89,-40
300,-89,-60
350,-89,-35
400,-89,-50
450,-91,-80
500,-91,-80
550,-91,-80
600,-89,-55
650,-90,-80
700,-92,-55
750,-90,-60
800,-90,-80
850,-89,-80
900,-90,-70
950,-89,-50
1000,-90,-80
1050,-87,-50
1100,-87,-60
1150,-91,-80
1200,-90,-80
1250,-89,-50
1300,-90,-80
1350,-88,80
1400,-89,-80
1450,-90,-50
1500,-90,-80
1550,-89,-80
1600,-91,-80
1650,-91,-80
1700,-89,-80
1750,-90,-80
1800,-89,-35
1850,-90,-80
1900,-90,-80
1950,-90,-80
2000,-90,-80
2050,-90,-80
2100,-92,-80
2150,-89,-45
2200,-91,-60
2250,-101,-80
2300,-89,-80
2350,-90,-80
2400,-90,-40
2450,-91,-40
2500,-89,-80
2550,-90,-80
2600,-89,-80
2650,-91,-80
2700,-90,-80
2750,-89,-50
2800,-89,-80
2850,-91,-80
2900,-88,-40
2950,-89,-50
3000,-91,-80
3050,-89,-80
3100,-89,-60
3150,-90,-80
3200,-89,115
3250,-90,-80
3300,-90,-80
3350,-91,-80
3400,-89,-40
3450,-89,-80
3500,-90,-50
3550,-89,-80
3600,-90,-80
3650,-89,-80
3700,-89,-45
3750,-90,-80
3800,-88,-45
3850,-90,-80
3900,-89,-40
3950,-91,-80
4000,-90,-80
4050,-92,-80
4100,-90,-60
4150,-89,-80
4200,-88,-80
4250,-90,-55
4300,-90,-60
4350,-90,-80
4400,-89,-40
4450,-88,-80
4500,-89,85
4550,-89,-80
4600,-91,-80
4650,-89,-80
4700,-89,-40
4750,-90,-80
4800,-90,-80
4850,-89,-80
4900,-89,-80
4950,-90,-80
5000,-90,-80
5050,-90,-80
5100,-91,-80
5150,-90,-80
5200,-90,-40
5250,-87,65
5300,-89,-35
5350,-88,-80
5400,-89,-80
5450,-90,-80
5500,-89,-80
5550,-92,-80
5600,-88,-80
5650,-89,-80
5700,-89,-50
5750,-89,-70
5800,-90,-40
5850,-90,-80
5900,-89,-80
5950,-90,-80
6000,-90,-80
6050,-88,-80
6100,-90,-65
6150,-91,-80
6200,-90,-80
6250,-91,-80
6300,-90,-50
6350,-89,-60
6400,-88,-80
6450,-90,-80
6500,-91,-80
6550,-90,-80
6600,-90,-80
6650,-88,-40
6700,-90,-80
6750,-91,-80
6800,-90,-80
6850,-91,-80
6900,-89,-80
6950,-88,-80
7000,-89,-40
7050,-90,-45
7100,-88,-45
7150,-88,-55
7200,-90,-55
7250,-91,-80
7300,-89,30
7350,-89,-80
7400,-90,-80
7450,-90,-80
7500,-90,-40
7550,-88,-80
7600,-91,-80
7650,-90,-80
7700,-88,-80
7750,-89,-80
7800,-91,-80
7850,-90,-80
7900,-90,-55
7950,-89,-40
8000,-90,-80
8050,-90,-80
8100,-88,-80
8150,-91,-80
8200,-90,-80
8250,-89,-40
8300,-90,-80
8350,-91,-50
8400,-90,-80
8450,-89,-80
8500,-90,-80
8550,-90,-80
8600,-90,-45
8650,-87,-80
8700,-98,-80
8750,-90,-80
8800,-91,-80
8850,-89,-50
8900,-89,-80
8950,-88,-80
9000,-88,-40
9050,-88,-50
9100,-90,-60
9150,-90,-80
9200,-90,-80
9250,-89,-80
9300,-89,-70
9350,-91,-80
9400,-90,-80
9450,-89,-80
9500,-90,-80
9550,-90,-80
9600,-89,-80
9650,-90,-80
9700,-89,-50
9750,-91,-80
9800,-89,-70
9850,-90,-80
9900,-90,-50
9950,-90,-80
10000,-90,-80
10050,-90,-80
10100,-91,-80
10150,-89,-80
10200,-89,-40
10250,-90,-80
10300,-89,-40
10350,-90,-60
10400,-90,-50
10450,-90,-50
10500,-90,-45
10550,-89,-40
10600,-88,-45
10650,-90,-80
10700,-91,-80
10750,-90,-80
10800,-90,-80
10850,-89,-80
10900,-90,-60
10950,-90,-80
11000,-90,-80
11050,-88,-80
11100,-90,-80
11150,-89,-80
11200,-91,-80
11250,-89,-40
11300,-88,-80
11350,-89,-70
11400,-89,-80
11450,-91,-70
11500,-90,-80
11550,-88,-80
11600,-89,-50
11650,-90,-55
11700,-90,-80
11750,-90,-70
11800,-90,-80
11850,-90,-80
11900,-89,-40
11950,-90,-80
12000,-90,-80
12050,-90,-80
12100,-90,80
12150,-90,-60
12200,-91,-80
12250,-89,-70
12300,-90,-80
12350,-90,-80
12400,-89,-60
12450,-91,-80
12500,-89,-80
12550,-90,-80
12600,-88,-55
12650,-88,-40
12700,-90,55
12750,-90,-80
12800,-90,-80
12850,-90,-80
12900,-89,-80
12950,-90,-80
13000,-90,-80
13050,-89,-45
13100,-90,-80
13150,-90,-80
13200,-90,-80
13250,-89,-50
13300,-89,-80
13350,-90,-80
13400,-90,-80
13450,-90,-80
13500,-90,-80
13550,-89,-50
13600,-89,-80
13650,-89,-80
13700,-90,-80
13750,-90,-80
13800,-89,-50
13850,-91,-80
13900,-90,-80
13950,-90,-80
14000,-90,-80
14050,-89,-80
14100,-90,-80
14150,-90,-60
14200,-90,-80
14250,-90,-60
14300,-91,-80
14350,-91,-80
14400,-90,-80
14450,-88,-40
14500,-90,-80
14550,-89,-80
14600,-91,-60
14650,-91,-80
14700,-90,-80
14750,-90,-80
14800,-91,-80
14850,-89,-40
14900,-88,-80
14950,-89,-80
15000,-90,-40
15050,-89,-60
15100,-89,-80
15150,-88,-40
15200,-90,-80
15250,-90,65
15300,-90,-80
15350,-89,-80
15400,-91,-80
15450,-100,-80
15500,-89,-60
15550,-91,-80
15600,-90,-80
15650,-90,-80
15700,-89,-40
15750,-90,-80
15800,-88,65
15850,-90,-80
15900,-89,-80
15950,-89,-80
16000,-89,-35
16050,-90,-80
16100,-90,-80
16150,-88,-40
16200,-90,-50
16250,-90,-80
16300,-90,-80
16350,-90,-80
16400,-89,-40
16450,-89,-80
16500,-89,-45
16550,-91,-35
16600,-89,-80
16650,-89,-50
16700,-89,-80
16750,-90,-35
16800,-90,-60
16850,-89,-80
16900,-89,-75
16950,-91,-80
17000,-90,-40
17050,-89,-80
17100,-88,-50
17150,-90,-80
17200,-89,-50
17250,-89,-45
17300,-90,-80
17350,-91,-80
17400,-90,-80
17450,-89,-80
17500,-90,-50
17550,-90,-80
17600,-89,-80
17650,-89,-80
17700,-89,-80
17750,-89,-80
17800,-90,-80
17850,-90,-60
17900,-88,-50
17950,-89,-50
18000,-90,-80
18050,-90,-80
18100,-89,-50
18150,-90,-80
18200,-90,-80
18250,-89,-80
18300,-89,-80
18350,-89,-80
18400,-91,-40
18450,-90,-80
18500,-90,-80
18550,-89,-80
